County,PC1,PC2
Carlow,357342.96615408635,-24021.412005974573
Cavan,457834.7808608639,-23182.004490456864
Clare,-1190637.6600913787,-14649.896525705799
Cork,-7650612.659145208,118170.70322766656
Donegal,585023.1862542974,-36863.08036982834
Dublin,45173058.852998845,60889.320202049676
Galway,-6706845.352465631,45201.214499695474
Kerry,-555903.6703335982,-14710.021003513793
Kildare,-5406243.877948798,51209.15332358661
Kilkenny,-4236824.222642762,10891.781769343734
Laois,1382777.9166696044,-26253.63403566848
Leitrim,982568.2729380543,-36705.39845571708
Limerick,934179.064575466,-18250.73909540515
Longford,524872.025977635,-28654.321132959125
Louth,744906.7603339298,-11906.292550207303
Mayo,-706888.8437397948,-25812.896462784116
Meath,1064515.2453241083,4689.444939337577
Monaghan,-5476447.5048844805,9648.755991438678
Offaly,444162.3368326823,-27300.01622818668
Roscommon,437519.0958018901,-32217.183813481264
Sligo,911974.7124061527,-37706.05552901398
Tipperary,-2570800.3484952627,-9562.34502838404
Waterford,1299262.35341637,-28310.450969360463
Westmeath,-12627683.754368523,61486.69653340389
Wexford,-6701545.67622456,31186.066017741727
Wicklow,-1469564.000203989,2732.6111923831895
